Contenedor,c1,c2,c3,c4,c5,c5,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
caso1,1649,1371,1558,1685,1611,1464,1152,1672,1510,1083,,,,,,,,,,
caso2,1542,1209,1784,1517,1176,1778,1813,1617,1798,1578,,,,,,,,,,
caso3,1705,1118,1448,1808,1838,1061,1644,1221,1872,1260,,,,,,,,,,
caso4,1636,1149,1744,1211,1919,1805,1135,1476,1502,1971,,,,,,,,,,
caso5,1490,1424,1753,1347,1337,1772,1568,1083,1261,1029,,,,,,,,,,
caso6,1919,1416,1148,1408,1590,1199,1149,1929,1731,1125,,,,,,,,,,
caso7,1016,1897,1942,1179,1123,1323,1309,1306,1156,1014,1767,1165,1177,,,,,,,
caso8,1704,1948,1488,1600,1249,1943,1832,1345,1000,1053,1901,1304,1292,,,,,,,
caso9,1604,1469,1541,1139,1310,1100,1739,1820,1408,1664,1021,1234,1843,,,,,,,
caso10,1704,1070,1895,1724,1966,1272,1791,1113,1553,1915,1316,1308,1078,,,,,,,
caso11,1557,1325,1618,1191,1518,1650,1917,1341,1904,1153,1691,1660,1016,,,,,,,
caso12,1576,1838,1651,1490,1415,1570,1579,1054,1590,1641,1134,1206,1986,,,,,,,
caso13,1732,1997,1422,1778,1417,1687,1789,1347,1158,1557,1496,1429,1964,1498,1816,,,,,
caso14,1046,1649,1989,1803,1590,1790,1671,1626,1317,1498,1916,1158,1445,1008,1089,,,,,
caso15,1439,1005,1388,1637,1432,1374,1000,1235,1098,1818,1731,1542,1254,1658,1786,,,,,
caso16,1394,1959,1941,1970,1807,1170,1619,1035,1596,1731,1628,1311,1742,1686,1227,,,,,
caso17,1343,1016,1954,1580,1836,1371,1038,1844,1857,1645,1665,1540,1146,1160,1879,,,,,
caso18,1484,1892,1502,1095,1260,1493,1646,1313,1421,1008,1407,1204,1418,1130,1996,,,,,
caso19,1683,1126,1577,1900,1928,1979,1322,1634,1854,1809,1517,1087,1965,1393,1264,1439,1956,,,
caso20,1129,1391,1373,1682,1464,1948,1280,1126,1274,1902,1087,1547,1757,1565,1005,1048,1126,,,
caso21,1670,1633,1714,1820,1170,1487,1069,1848,1164,1460,1638,1573,1561,1236,1957,1345,1251,,,
caso22,1250,1312,1136,1983,1658,1318,1669,1795,1769,1032,1300,1285,1586,1488,1442,1322,1274,,,
caso23,1643,1946,1130,1449,1635,1908,1127,1270,1708,1105,1107,1719,1189,1953,1473,1553,1542,,,
caso24,1803,1230,1867,1606,1329,1752,1212,1380,1863,1623,1323,1914,1000,1033,1837,1088,1019,74,118,117
caso25,1524,1070,1705,1706,1358,1075,1783,1106,1146,1742,1031,1962,1251,1612,1526,1313,1940,110,77,73
caso26,1291,1782,1708,1989,1756,1515,1324,1136,1694,1825,1495,1287,1394,1527,1212,1604,1121,77,80,78
caso27,1092,1954,1290,1134,1314,1956,1387,1083,1446,1863,1454,1804,1548,1237,1262,1208,1963,61,72,115
caso28,1140,1218,1757,1691,1556,1937,1553,1068,1610,1767,1005,1750,1838,1597,1754,1341,1616,89,98,69
caso29,1967,1841,1259,1347,1645,1538,1812,1325,1906,1782,1429,1769,1053,1131,1384,1461,1996,82,80,107
